名称,名称(英語),設置場所,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
荏原第一中学校,"",荏原第一中学校,東京都品川区荏原1-24-30,35.619447,139.712868,"","","","","",""
荏原保健センター,"",荏原保健センター,東京都品川区荏原2-9-6,35.617091,139.711112,"","","","","",""
荏原特別養護老人ホーム,"",荏原特別養護老人ホーム,東京都品川区荏原2-9-6,35.617091,139.711112,"","","","","",""
荏原保育園,"",荏原保育園,東京都品川区荏原2-16-18,35.616736,139.708921,"","","","","",""
平塚幼稚園,"",平塚幼稚園,東京都品川区荏原4-5-22,35.61503,139.707691,"","","","","",""
荏原平塚総合区民会館①,"",荏原平塚総合区民会館,東京都品川区荏原4-5-28,35.615441,139.70743,"","","","","",""
荏原平塚総合区民会館②,"",荏原平塚総合区民会館,東京都品川区荏原4-5-28,35.615441,139.70743,"","","","","",""
荏原ほっとサロン,"",荏原ほっとサロン,東京都品川区荏原4-12-20,35.616061,139.705294,"","","","","",""
荏原西保育園,"",荏原西保育園,東京都品川区荏原4-16-11,35.61393,139.706113,"","","","","",""
荏原区民センター,"",荏原区民センター,東京都品川区荏原5-6-5,35.614536,139.702126,"","","","","",""
荏原いきいき倶楽部,"",荏原いきいき倶楽部,東京都品川区荏原6-2-8,35.612872,139.702847,"","","","","",""
荏原第二地域センター,"",荏原第二地域センター,東京都品川区荏原6-17-12,35.611062,139.70442,"","","","","",""
清水台保育園,"",清水台保育園,東京都品川区荏原7-8-3,35.611706,139.701497,"","","","","",""
大井町サービスコーナー,"",大井町サービスコーナー,東京都品川区大井1-2-1,35.606182,139.734892,"","","","","",""
品川観光協会,"",品川観光協会,東京都品川区大井1-14-1,35.607696,139.731458,"","","","","",""
一本橋児童センター,"",一本橋児童センター,東京都品川区大井2-25-1,35.604652,139.729634,"","","","","",""
大井第二地域センター,"",大井第二地域センター,東京都品川区大井2-27-20,35.604091,139.730384,"","","","","",""
山中小学校,"",山中小学校,東京都品川区大井3-7-19,35.602788,139.729925,"","","","","",""
大井倉田児童センター,"",大井倉田児童センター,東京都品川区大井4-11-34,35.602358,139.733692,"","","","","",""
大井在宅サービスセンター,"",大井在宅サービスセンター,東京都品川区大井4-14-8,35.60188,139.732825,"","","","","",""
伊藤学園①,"",伊藤学園,東京都品川区大井5-1-37,35.600152,139.726095,"","","","","",""
伊藤学園②,"",伊藤学園,東京都品川区大井5-1-37,35.600152,139.726095,"","","","","",""
滝王子保育園,"",滝王子保育園,東京都品川区大井5-18-1,35.598072,139.727712,"","","","","",""
大井図書館,"",大井図書館,東京都品川区大井5-19-14,35.598219,139.728989,"","","","","",""
大井第一小学校,"",大井第一小学校,東京都品川区大井6-1-32,35.598722,139.731187,"","","","","",""
品川歴史館,"",品川歴史館,東京都品川区大井6-11-1,35.596733,139.730157,"","","","","",""
大崎図書館,"",大崎図書館,東京都品川区大崎2-4-8,35.618575,139.725714,"","","","","",""
大崎ゆうゆうプラザ,"",大崎ゆうゆうプラザ,東京都品川区大崎2-7-13,35.616586,139.726028,"","","","","",""
大崎第二地域センター,"",大崎第二地域センター,東京都品川区大崎2-9-4,35.616944,139.727572,"","","","","",""
大崎在宅サービスセンター,"",大崎在宅サービスセンター,東京都品川区大崎2-11-1,35.624186,139.743698,"","","","","",""
芳水小学校,"",芳水小学校,東京都品川区大崎3-12-22,35.619255,139.724717,"","","","","",""
大崎保育園,"",大崎保育園,東京都品川区大崎5-2-1,35.621949,139.726365,"","","","","",""
区民斎場（なぎさ会館）,"",区民斎場（なぎさ会館）,東京都品川区勝島3-1-3,35.596317,139.741731,"","","","","",""
しながわ水族館,"",しながわ水族館,東京都品川区勝島3-2-1,35.588476,139.737501,"","","","","",""
しながわ区民公園管理事務所,"",しながわ区民公園管理事務所,東京都品川区勝島3-2-2,35.592801,139.738653,"","","","","",""
しながわ区民公園プール管理棟,"",しながわ区民公園プール管理棟,東京都品川区勝島3-2-2,35.5928,139.738653,"","","","","",""
上大崎シルバーセンター,"",上大崎シルバーセンター,東京都品川区上大崎1-3-12,35.634598,139.722075,"","","","","",""
第三日野小学校,"",第三日野小学校,東京都品川区上大崎1-19-19,35.632801,139.723819,"","","","","",""
発達障害者支援施設ぷらーす,"",発達障害者支援施設ぷらーす,東京都品川区上大崎1-20-12,35.633173,139.722055,"","","","","",""
北品川シルバーセンター,"",北品川シルバーセンター,東京都品川区北品川1-29-12,35.620533,139.741771,"","","","","",""
品川図書館,"",品川図書館,東京都品川区北品川2-32-3,35.616839,139.742374,"","","","","",""
品川宿交流館,"",品川宿交流館,東京都品川区北品川2-28-19,35.622652,139.739554,"","","","","",""
北品川保育園,"",北品川保育園,東京都品川区北品川2-7-21,35.618809,139.743943,"","","","","",""
北浜こども冒険ひろば,"",北浜こども冒険ひろば,東京都品川区北品川2-28,35.617417,139.744921,"","","","","",""
子供の森公園管理詰所,"",子供の森公園管理詰所,東京都品川区北品川3-10-13,35.616345,139.738229,"","","","","",""
品川第一地域センター,"",品川第一地域センター,東京都品川区北品川3-11-16,35.616681,139.74008,"","","","","",""
品川保健センター,"",品川保健センター,東京都品川区北品川3-11-22,35.616606,139.740694,"","","","","",""
品川学園①,"",品川学園,東京都品川区北品川3-9-30,35.61805,139.737982,"","","","","",""
品川学園②,"",品川学園,東京都品川区北品川3-9-30,35.61805,139.737982,"","","","","",""
品川学園③,"",品川学園,東京都品川区北品川3-9-30,35.61805,139.737982,"","","","","",""
御殿山すこやか園,"",御殿山すこやか園,東京都品川区北品川5-3-1,35.61804,139.739257,"","","","","",""
御殿山幼稚園,"",御殿山幼稚園,東京都品川区北品川5-3-1,35.61804,139.739257,"","","","","",""
御殿山小学校,"",御殿山小学校,東京都品川区北品川5-2-6,35.623133,139.731772,"","","","","",""
品川産業支援交流施設,"",品川産業支援交流施設,東京都品川区北品川5-5-15,35.622547,139.730702,"","","","","",""
小関児童センター,"",小関児童センター,東京都品川区北品川5-8-15,35.620139,139.732433,"","","","","",""
中原児童センター,"",中原児童センター,東京都品川区小山1-4-1,35.622094,139.712604,"","","","","",""
後地小学校,"",後地小学校,東京都品川区小山2-4-6,35.621568,139.708571,"","","","","",""
後地シルバーセンター,"",後地シルバーセンター,東京都品川区小山2-9-19,35.62063,139.709199,"","","","","",""
荏原第一地域センター,"",荏原第一地域センター,東京都品川区小山3-22-3,35.619294,139.705691,"","","","","",""
武蔵小山サービスコーナー,"",武蔵小山サービスコーナー,東京都品川区小山3-27-5,35.619746,139.70336,"","","","","",""
小山小学校,"",小山小学校,東京都品川区小山5-10-6,35.616002,139.703249,"","","","","",""
小山シルバーセンター,"",小山シルバーセンター,東京都品川区小山5-17-18,35.614836,139.701441,"","","","","",""
荏原第六中学校,"",荏原第六中学校,東京都品川区小山5-20-19,35.616363,139.699877,"","","","","",""
小山在宅サービスセンター,"",小山在宅サービスセンター,東京都品川区小山7-14-18,35.609006,139.696483,"","","","","",""
小山台保育園,"",小山台保育園,東京都品川区小山台1-3-8,35.625046,139.706754,"","","","","",""
小山台小学校,"",小山台小学校,東京都品川区小山台1-18-24,35.622793,139.703471,"","","","","",""
戸越台中学校,"",戸越台中学校,東京都品川区戸越1-15-23,35.615706,139.717587,"","","","","",""
品川区立戸越台中学校（温水プール）,"",品川区立戸越台中学校（温水プール）,東京都品川区戸越1-15-23,35.615706,139.717587,"","","","","",""
戸越台特別養護老人ホーム,"",戸越台特別養護老人ホーム,東京都品川区戸越1-15-23,35.615706,139.717587,"","","","","",""
宮前小学校,"",宮前小学校,東京都品川区戸越4-5-10,35.611878,139.718329,"","","","","",""
大原児童センター,"",大原児童センター,東京都品川区戸越6-16-1,35.607348,139.715412,"","","","","",""
品川児童学園分室（戸越ルーム）,"",品川児童学園分室（戸越ルーム）,東京都品川区戸越6-16-14,35.607343,139.715462,"","","","","",""
大原小学校,"",大原小学校,東京都品川区戸越6-17-3,35.607323,139.715998,"","","","","",""
成幸在宅サービスセンター,"",成幸在宅サービスセンター,東京都品川区中延1-8-7,35.612084,139.711838,"","","","","",""
荏原図書館,"",荏原図書館,東京都品川区中延1-9-15,35.612164,139.710546,"","","","","",""
荏原文化センター,"",荏原文化センター,東京都品川区中延1-9-15,35.612164,139.710546,"","","","","",""
中延小学校,"",中延小学校,東京都品川区中延1-11-15,35.612567,139.709502,"","","","","",""
源氏前図書館,"",源氏前図書館,東京都品川区中延4-14-17,35.605509,139.709977,"","","","","",""
荏原第四地域センター,"",荏原第四地域センター,東京都品川区中延5-3-12,35.60374,139.708358,"","","","","",""
源氏前小学校,"",源氏前小学校,東京都品川区中延6-2-18,35.603448,139.711677,"","","","","",""
中延特別養護老人ホーム,"",中延特別養護老人ホーム,東京都品川区中延6-8-8,35.601812,139.711191,"","","","","",""
西大井保育園,"",西大井保育園,東京都品川区西大井1-1-1,35.600771,139.721581,"","","","","",""
西大井広場公園管理詰所,"",西大井広場公園管理詰所,東京都品川区西大井1-4-10,35.601827,139.722981,"","","","","",""
西大井在宅サービスセンター,"",西大井在宅サービスセンター,東京都品川区西大井2-4-4,35.59993,139.722532,"","","","","",""
西大井ほっとサロン,"",西大井ほっとサロン,東京都品川区西大井3-1-4,35.597897,139.723607,"","","","","",""
大井第三地域センター,"",大井第三地域センター,東京都品川区西大井4-1-8,35.597669,139.721078,"","","","","",""
冨士見台中学校,"",冨士見台中学校,東京都品川区西大井5-5-14,35.598555,139.715263,"","","","","",""
伊藤小学校,"",伊藤小学校,東京都品川区西大井5-6-8,35.598755,139.717279,"","","","","",""
西大井福祉園,"",西大井福祉園,東京都品川区西大井5-7-24,35.59926,139.716615,"","","","","",""
伊藤幼稚園,"",伊藤幼稚園,東京都品川区西大井5-22-8,35.598113,139.716846,"","","","","",""
冨士見台児童センター,"",冨士見台児童センター,東京都品川区西大井6-1-8,35.601329,139.714232,"","","","","",""
かがやき園,"",かがやき園,東京都品川区西大井6-2-14,35.600838,139.715504,"","","","","",""
伊藤児童センター,"",伊藤児童センター,東京都品川区西大井6-13-1,35.600741,139.717562,"","","","","",""
大崎第一地域センター,"",大崎第一地域センター,東京都品川区西五反田3-6-3,35.627776,139.716859,"","","","","",""
西五反田在宅サービスセンター,"",西五反田在宅サービスセンター,東京都品川区西五反田3-6-6,35.628118,139.716964,"","","","","",""
西五反田シルバーセンター,"",西五反田シルバーセンター,東京都品川区西五反田3-9-10,35.626535,139.716906,"","","","","",""
第四日野小学校,"",第四日野小学校,東京都品川区西五反田4-29-9,35.625804,139.712343,"","","","","",""
五反田図書館,"",五反田図書館,東京都品川区西五反田6-5-1,35.62246,139.71664,"","","","","",""
第一日野幼稚園,"",第一日野幼稚園,東京都品川区西五反田6-5-6,35.622132,139.716359,"","","","","",""
第一日野小学校,"",第一日野小学校,東京都品川区西五反田6-5-32,35.622168,139.716098,"","","","","",""
しながわ中央公園管理事務所,"",しながわ中央公園管理事務所,東京都品川区西品川1-27-28,35.609584,139.728775,"","","","","",""
三ツ木保育園,"",三ツ木保育園,東京都品川区西品川1-9-18,35.613114,139.729697,"","","","","",""
商業・ものづくり課,"",商業・ものづくり課,東京都品川区西品川1-28-3,35.60932,139.727725,"","","","","",""
三ツ木児童センター,"",三ツ木児童センター,東京都品川区西品川2-6-13,35.614006,139.726217,"","","","","",""
大崎中学校,"",大崎中学校,東京都品川区西品川3-10-6,35.615836,139.723011,"","","","","",""
三木小学校,"",三木小学校,東京都品川区西品川3-16-28,35.615528,139.726856,"","","","","",""
西品川保育園,"",西品川保育園,東京都品川区西品川3-16-35,35.615045,139.726167,"","","","","",""
平塚橋特別養護老人ホーム,"",平塚橋特別養護老人ホーム,東京都品川区西中延1-2-8,35.614147,139.709785,"","","","","",""
平塚橋ゆうゆうプラザ,"",平塚橋ゆうゆうプラザ,東京都品川区西中延1-2-8,35.614147,139.709785,"","","","","",""
中延児童センター,"",中延児童センター,東京都品川区西中延1-6-16,35.61242,139.708496,"","","","","",""
延山小学校,"",延山小学校,東京都品川区西中延2-17-5,35.609012,139.708082,"","","","","",""
西中延児童センター,"",西中延児童センター,東京都品川区西中延3-8-5,35.607334,139.708146,"","","","","",""
リサイクルショップリボン旗の台店,"",リサイクルショップリボン旗の台店,東京都品川区旗の台5-13-9,35.603156,139.702102,"","","","","",""
第二延山小学校,"",第二延山小学校,東京都品川区旗の台1-6-1,35.61012,139.703613,"","","","","",""
清水台小学校,"",清水台小学校,東京都品川区旗の台1-11-17,35.61012,139.703613,"","","","","",""
旗の台シルバーセンター,"",旗の台シルバーセンター,東京都品川区旗の台4-13-1,35.602584,139.704669,"","","","","",""
旗台小学校,"",旗台小学校,東京都品川区旗の台4-7-11,35.603354,139.704194,"","","","","",""
心身障害者福祉会館,"",心身障害者福祉会館,東京都品川区旗の台5-2-2,35.605003,139.700419,"","","","","",""
旗の台文化センター,"",旗の台文化センター,東京都品川区旗の台5-19-5,35.603756,139.700453,"","","","","",""
荏原第五中学校,"",荏原第五中学校,東京都品川区旗の台5-11-13,35.603156,139.702102,"","","","","",""
東中延児童センター,"",東中延児童センター,東京都品川区東中延2-5-10,35.607806,139.713807,"","","","","",""
鮫洲運動公園管理事務所,"",鮫洲運動公園管理事務所,東京都品川区東大井1-4-11,35.605883,139.744994,"","","","","",""
東大井児童センター,"",東大井児童センター,東京都品川区東大井1-22-16,35.603483,139.741372,"","","","","",""
